MyDollarBot-BOTGo,,,
https://github.com/JayProngs/MyDollarBot-BOTGo,,,
Group No 69,,,
Questions, Project 3 Rating,Evidence,Comments
Video,3,https://youtu.be/Kpe4u8LHseg,
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot)",3,https://github.com/JayProngs/MyDollarBot-BOTGo/pulse,
Number of commits,3,https://github.com/JayProngs/MyDollarBot-BOTGo/graphs/commit-activity,
Number of commits: by different people,2,https://github.com/JayProngs/MyDollarBot-BOTGo/graphs/contributors,
Issues reports: there are many Issues are being closed,3,https://github.com/JayProngs/MyDollarBot-BOTGo/issues?q=is%3Aissue+is%3Aclosed,
DOI badge: exists,3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,
"Docs: doco generated, format not ugly",3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,
Docs: what: point descriptions of each class/function (in isolation),3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,(added function description for every new feature addition)
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,
Use of version control tools,3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,
Use of style checkers,3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,
Use of code formatters.,3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,
Use of syntax checkers.,3,,
Use of code coverage,3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/README.md,
Other automated analysis tools,3,,
Test cases exist,3,https://github.com/JayProngs/MyDollarBot-BOTGo/tree/main/test,
Test cases are routinely executed,3,https://github.com/JayProngs/MyDollarBot-BOTGo/actions,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/main/CODE_OF_CONDUCT.md,
Issues are discussed before they are closed,3,https://github.com/JayProngs/MyDollarBot-BOTGo/issues,
Chat channel: exists,3, (Yes discord channel exits),
Test cases: a large proportion of the issues related to handling failing cases.,3,https://github.com/JayProngs/MyDollarBot-BOTGo/issues/7,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,CI pipelines executed after every change by dev after their respective changes,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,,
Evidence that the members of the team are working across multiple places in the code base,3,,
Short release cycles,3,https://github.com/JayProngs/MyDollarBot-BOTGo/releases,
Total,81,,
,,,
,,,
Questions,Project 3 Response ,Project 3 Evidence ,
,,,
Q1 - What your software does,,,
"Question 1.1: Does your website and documentation provide a clear, high-level overview of your software?*",3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/aee1f43f93fad4631eb2b5936ad95d56378d307a/README.md,
Question 1.2: Does your website and documentation clearly describe the type of user who should use your software?*,3,https://github.com/JayProngs/MyDollarBot-BOTGo/blob/aee1f43f93fad4631eb2b5936ad95d56378d307a/README.md,
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others?*,1,,
,,,
,,,
Q2 - Your project's and software's identity,,,
Question 2.1: Is the name of your project/software unique?*,2,Yes,
Question 2.2: Is your project/software name free from trademark violations?*,3,MIT License exists,
,,,
,,,
Q3 - Availability of your software,,,
Question 3.1: Is your software available as a package that can be deployed without building it?*,0,No,
Question 3.2: Is your software available for free?*,3,Yes,
"Question 3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?*",3,Yes,
"Question 3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?*",3,Not hosted. It runs on local server,
,,,
,,,
Q4 - Your software's documentation,,,
Question 4.1: Is your documentation clearly available on your website or within your software?*,3 (readme updated),Document available on repository,
"Question 4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?*",3,Present in Readme.md,
"Question 4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?*",3,Available in readme,
"Question 4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?*",3,Repo provides guide in how to use software to its fullest and covers the general workflow.,
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?*,2,,
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?*",0,,
Question 4.7: Do you store your documentation under revision control with your source code?*,3,Present in Readme.md,
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?*",3,New relase and features are presnt in readme file,
,,,
,,,
Q5 - How you support your software,,,
Question 5.1: Does your software describe how a user can get help with using your software?*,3,Contact details and email id mentioned in readme file,
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?*",3,,
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?*,3,,
Question 5.4: Are e-mails to your support e-mail address received by more than one person?*,3,Yes. Access given to all team members,
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?*,3,(github issues) https://github.com/JayProngs/MyDollarBot-BOTGo/issues ,
